name,DOB,street,city,state,zip
Brett,1992-09-15,23511 Webb Landing,Villanuevamouth,Hawaii,12571
William,2013-10-26,8550 Janet Place,New Barbaraside,Washington,87142
Jason,1994-02-14,225 Parker Oval,West Luis,Ohio,56540
Susan,1987-03-06,71418 Bradley Lights Suite 745,Lake Jennifertown,Alaska,49315
Rhonda,2010-12-03,654 Ricky Lake,Millertown,Utah,21250
Kathleen,1924-03-26,11354 Mark Run,Williamside,Nebraska,67386
Dale,1931-01-27,941 Rojas Spurs Suite 788,East Selenatown,Alabama,38143
Jean,1915-11-12,607 Hamilton Well,East Michele,Arizona,11009
Jennifer,1966-01-02,9934 Morris Stravenue Apt. 237,Watkinston,Kentucky,98048
Donald,1957-01-18,86005 Flores Meadows,New Sonyaside,Louisiana,57556
